Postaja,Regija,Datum,SO2
ravenska vas,Zasavska,2009-11-30,12.0
nova gorica,Goriška,2009-12-31,9.0
graska gora,Koroška,2009-12-31,4.0
ljubljana b.,Osrednjeslovenska,2009-12-31,5.0
ljubljana center,Osrednjeslovenska,2009-12-31,7.0
maribor center,Podravska,2009-12-31,18.0
pesje,Posavska,2009-12-31,14.0
brestanica-sv.mohor,Posavska,2009-12-31,36.0
celje,Savinjska,2009-12-31,10.0
sostanj,Savinjska,2009-12-31,8.0
topolsica,Savinjska,2009-12-31,12.0
veliki vrh,Savinjska,2009-12-31,42.0
zavodnje,Savinjska,2009-12-31,14.0
velenje,Savinjska,2009-12-31,3.0
skale,Savinjska,2009-12-31,20.0
trbovlje,Zasavska,2009-12-31,6.0
hrastnik,Zasavska,2009-12-31,10.0
zagorje,Zasavska,2009-12-31,
kovk,Zasavska,2009-12-31,30.0
dobovec,Zasavska,2009-12-31,19.0
kum,Zasavska,2009-12-31,12.0
ravenska vas,Zasavska,2009-12-31,25.0
iskrba,Jugovzhodna Slovenija,2010-01-31,20.0
graska gora,Koroška,2010-01-31,11.0
ljubljana bezigrad,Osrednjeslovenska,2010-01-31,14.0
ljubljana center,Osrednjeslovenska,2010-01-31,9.0
vnajnarje,Osrednjeslovenska,2010-01-31,20.0
pesje,Posavska,2010-01-31,19.0
brestanica-sv.mohor,Posavska,2010-01-31,28.0
celje,Savinjska,2010-01-31,26.0
sostanj,Savinjska,2010-01-31,12.0
topolsica,Savinjska,2010-01-31,10.0
veliki vrh,Savinjska,2010-01-31,25.0
zavodnje,Savinjska,2010-01-31,22.0
velenje,Savinjska,2010-01-31,14.0
skale,Savinjska,2010-01-31,10.0
trbovlje,Zasavska,2010-01-31,7.0
hrastnik,Zasavska,2010-01-31,21.0
zagorje,Zasavska,2010-01-31,29.0
kovk,Zasavska,2010-01-31,21.0
dobovec,Zasavska,2010-01-31,19.0
kum,Zasavska,2010-01-31,16.0
ravenska vas,Zasavska,2010-01-31,30.0
iskrba,Jugovzhodna Slovenija,2010-02-28,12.4
graska gora,Koroška,2010-02-28,17.0
ljubljana bezigrad,Osrednjeslovenska,2010-02-28,9.0
ljubljana center,Osrednjeslovenska,2010-02-28,10.0
vnajnarje,Osrednjeslovenska,2010-02-28,14.0
pesje,Posavska,2010-02-28,14.0
brestanica-sv.mohor,Posavska,2010-02-28,35.0
celje,Savinjska,2010-02-28,15.0
sostanj,Savinjska,2010-02-28,11.0
topolsica,Savinjska,2010-02-28,8.0
veliki vrh,Savinjska,2010-02-28,20.0
zavodnje,Savinjska,2010-02-28,16.0
velenje,Savinjska,2010-02-28,11.0
skale,Savinjska,2010-02-28,14.0
trbovlje,Zasavska,2010-02-28,5.0
hrastnik,Zasavska,2010-02-28,15.0
zagorje,Zasavska,2010-02-28,18.0
kovk,Zasavska,2010-02-28,26.0
dobovec,Zasavska,2010-02-28,20.0
kum,Zasavska,2010-02-28,19.0
ravenska vas,Zasavska,2010-02-28,26.0
iskrba,Jugovzhodna Slovenija,2010-03-31,2.7
graska gora,Koroška,2010-03-31,12.0
ljubljana bezigrad,Osrednjeslovenska,2010-03-31,5.0
ljubljana center,Osrednjeslovenska,2010-03-31,10.0
vnajnarje,Osrednjeslovenska,2010-03-31,12.0
pesje,Posavska,2010-03-31,8.0
brestanica-sv.mohor,Posavska,2010-03-31,28.0
celje,Savinjska,2010-03-31,13.0
sostanj,Savinjska,2010-03-31,24.0
topolsica,Savinjska,2010-03-31,6.0
veliki vrh,Savinjska,2010-03-31,20.0
zavodnje,Savinjska,2010-03-31,18.0
velenje,Savinjska,2010-03-31,3.0
skale,Savinjska,2010-03-31,9.0
trbovlje,Zasavska,2010-03-31,4.0
hrastnik,Zasavska,2010-03-31,12.0
zagorje,Zasavska,2010-03-31,10.0
kovk,Zasavska,2010-03-31,29.0
dobovec,Zasavska,2010-03-31,20.0
kum,Zasavska,2010-03-31,25.0
ravenska vas,Zasavska,2010-03-31,24.0
iskrba,Jugovzhodna Slovenija,2010-04-30,2.4
graska gora,Koroška,2010-04-30,4.0
ljubljana bezigrad,Osrednjeslovenska,2010-04-30,4.0
ljubljana center,Osrednjeslovenska,2010-04-30,11.0
vnajnarje,Osrednjeslovenska,2010-04-30,10.0
pesje,Posavska,2010-04-30,11.0
brestanica-sv.mohor,Posavska,2010-04-30,22.0
celje,Savinjska,2010-04-30,8.0
sostanj,Savinjska,2010-04-30,29.0
topolsica,Savinjska,2010-04-30,4.0
veliki vrh,Savinjska,2010-04-30,17.0
zavodnje,Savinjska,2010-04-30,13.0
velenje,Savinjska,2010-04-30,4.0
skale,Savinjska,2010-04-30,5.0
trbovlje,Zasavska,2010-04-30,12.0
hrastnik,Zasavska,2010-04-30,2.0
zagorje,Zasavska,2010-04-30,8.0
kovk,Zasavska,2010-04-30,9.0
dobovec,Zasavska,2010-04-30,4.0
kum,Zasavska,2010-04-30,31.0
ravenska vas,Zasavska,2010-04-30,15.0
iskrba,Jugovzhodna Slovenija,2010-05-31,2.5
graska gora,Koroška,2010-05-31,10.0
ljubljana bezigrad,Osrednjeslovenska,2010-05-31,3.0
ljubljana center,Osrednjeslovenska,2010-05-31,6.0
vnajnarje,Osrednjeslovenska,2010-05-31,6.0
pesje,Posavska,2010-05-31,13.0
brestanica-sv.mohor,Posavska,2010-05-31,29.0
celje,Savinjska,2010-05-31,11.0
sostanj,Savinjska,2010-05-31,35.0
topolsica,Savinjska,2010-05-31,6.0
veliki vrh,Savinjska,2010-05-31,17.0
zavodnje,Savinjska,2010-05-31,19.0
velenje,Savinjska,2010-05-31,6.0
skale,Savinjska,2010-05-31,26.0
trbovlje,Zasavska,2010-05-31,11.0
hrastnik,Zasavska,2010-05-31,2.0
zagorje,Zasavska,2010-05-31,10.0
kovk,Zasavska,2010-05-31,8.0
dobovec,Zasavska,2010-05-31,4.0
kum,Zasavska,2010-05-31,37.0
ravenska vas,Zasavska,2010-05-31,9.0
iskrba,Jugovzhodna Slovenija,2010-06-30,7.2
graska gora,Koroška,2010-06-30,9.0
ljubljana bezigrad,Osrednjeslovenska,2010-06-30,2.0
ljubljana center,Osrednjeslovenska,2010-06-30,7.0
vnajnarje,Osrednjeslovenska,2010-06-30,8.0
pesje,Posavska,2010-06-30,10.0
brestanica-sv.mohor,Posavska,2010-06-30,41.0
celje,Savinjska,2010-06-30,6.0
sostanj,Savinjska,2010-06-30,12.0
topolsica,Savinjska,2010-06-30,7.0
veliki vrh,Savinjska,2010-06-30,14.0
zavodnje,Savinjska,2010-06-30,19.0
velenje,Savinjska,2010-06-30,6.0
skale,Savinjska,2010-06-30,18.0
trbovlje,Zasavska,2010-06-30,1.0
hrastnik,Zasavska,2010-06-30,3.0
zagorje,Zasavska,2010-06-30,11.0
kovk,Zasavska,2010-06-30,7.0
dobovec,Zasavska,2010-06-30,3.0
kum,Zasavska,2010-06-30,13.0
ravenska vas,Zasavska,2010-06-30,7.0
iskrba,Jugovzhodna Slovenija,2010-07-31,2.3
graska gora,Koroška,2010-07-31,4.0
ljubljana bezigrad,Osrednjeslovenska,2010-07-31,2.0
ljubljana center,Osrednjeslovenska,2010-07-31,7.0
vnajnarje,Osrednjeslovenska,2010-07-31,7.0
pesje,Posavska,2010-07-31,13.0
brestanica-sv.mohor,Posavska,2010-07-31,25.0
celje,Savinjska,2010-07-31,7.0
sostanj,Savinjska,2010-07-31,35.0
topolsica,Savinjska,2010-07-31,5.0
veliki vrh,Savinjska,2010-07-31,28.0
zavodnje,Savinjska,2010-07-31,10.0
velenje,Savinjska,2010-07-31,5.0
skale,Savinjska,2010-07-31,15.0
trbovlje,Zasavska,2010-07-31,2.0
hrastnik,Zasavska,2010-07-31,3.0
zagorje,Zasavska,2010-07-31,7.0
kovk,Zasavska,2010-07-31,9.0
dobovec,Zasavska,2010-07-31,8.0
kum,Zasavska,2010-07-31,15.0
ravenska vas,Zasavska,2010-07-31,9.0
iskrba,Jugovzhodna Slovenija,2010-08-31,6.2
graska gora,Koroška,2010-08-31,6.0
ljubljana bezigrad,Osrednjeslovenska,2010-08-31,2.0
ljubljana center,Osrednjeslovenska,2010-08-31,8.0
vnajnarje,Osrednjeslovenska,2010-08-31,8.0
pesje,Posavska,2010-08-31,17.0
brestanica-sv.mohor,Posavska,2010-08-31,30.0
celje,Savinjska,2010-08-31,3.0
sostanj,Savinjska,2010-08-31,15.0
topolsica,Savinjska,2010-08-31,8.0
veliki vrh,Savinjska,2010-08-31,15.0
zavodnje,Savinjska,2010-08-31,20.0
velenje,Savinjska,2010-08-31,7.0
skale,Savinjska,2010-08-31,17.0
trbovlje,Zasavska,2010-08-31,4.0
hrastnik,Zasavska,2010-08-31,6.0
zagorje,Zasavska,2010-08-31,8.0
kovk,Zasavska,2010-08-31,27.0
dobovec,Zasavska,2010-08-31,17.0
kum,Zasavska,2010-08-31,8.0
ravenska vas,Zasavska,2010-08-31,21.0
iskrba,Jugovzhodna Slovenija,2010-09-30,3.7
graska gora,Koroška,2010-09-30,4.0
ljubljana bezigrad,Osrednjeslovenska,2010-09-30,2.0
ljubljana center,Osrednjeslovenska,2010-09-30,5.0
vnajnarje,Osrednjeslovenska,2010-09-30,9.0
pesje,Posavska,2010-09-30,15.0
brestanica-sv.mohor,Posavska,2010-09-30,20.0
celje,Savinjska,2010-09-30,6.0
sostanj,Savinjska,2010-09-30,15.0
topolsica,Savinjska,2010-09-30,4.0
veliki vrh,Savinjska,2010-09-30,24.0
zavodnje,Savinjska,2010-09-30,12.0
velenje,Savinjska,2010-09-30,3.0
skale,Savinjska,2010-09-30,16.0
trbovlje,Zasavska,2010-09-30,6.0
hrastnik,Zasavska,2010-09-30,10.0
zagorje,Zasavska,2010-09-30,12.0
kovk,Zasavska,2010-09-30,14.0
dobovec,Zasavska,2010-09-30,35.0
kum,Zasavska,2010-09-30,11.0
ravenska vas,Zasavska,2010-09-30,38.0
iskrba,Jugovzhodna Slovenija,2010-10-31,3.0
graska gora,Koroška,2010-10-31,7.0
ljubljana bezigrad,Osrednjeslovenska,2010-10-31,4.0
ljubljana center,Osrednjeslovenska,2010-10-31,5.0
vnajnarje,Osrednjeslovenska,2010-10-31,7.0
pesje,Posavska,2010-10-31,25.0
brestanica-sv.mohor,Posavska,2010-10-31,19.0
celje,Savinjska,2010-10-31,10.0
sostanj,Savinjska,2010-10-31,13.0
topolsica,Savinjska,2010-10-31,5.0
veliki vrh,Savinjska,2010-10-31,15.0
zavodnje,Savinjska,2010-10-31,13.0
velenje,Savinjska,2010-10-31,6.0
skale,Savinjska,2010-10-31,9.0
trbovlje,Zasavska,2010-10-31,5.0
hrastnik,Zasavska,2010-10-31,8.0
zagorje,Zasavska,2010-10-31,10.0
kovk,Zasavska,2010-10-31,10.0
dobovec,Zasavska,2010-10-31,26.0
kum,Zasavska,2010-10-31,10.0
ravenska vas,Zasavska,2010-10-31,21.0
iskrba,Jugovzhodna Slovenija,2010-11-30,2.3
graska gora,Koroška,2010-11-30,8.0
ljubljana bezigrad,Osrednjeslovenska,2010-11-30,7.0
ljubljana center,Osrednjeslovenska,2010-11-30,5.0
vnajnarje,Osrednjeslovenska,2010-11-30,6.0
pesje,Posavska,2010-11-30,22.0
brestanica-sv.mohor,Posavska,2010-11-30,22.0
celje,Savinjska,2010-11-30,11.0
sostanj,Savinjska,2010-11-30,15.0
topolsica,Savinjska,2010-11-30,6.0
veliki vrh,Savinjska,2010-11-30,8.0
zavodnje,Savinjska,2010-11-30,19.0
velenje,Savinjska,2010-11-30,7.0
skale,Savinjska,2010-11-30,18.0
trbovlje,Zasavska,2010-11-30,6.0
hrastnik,Zasavska,2010-11-30,7.0
zagorje,Zasavska,2010-11-30,12.0
kovk,Zasavska,2010-11-30,17.0
dobovec,Zasavska,2010-11-30,20.0
kum,Zasavska,2010-11-30,9.0
ravenska vas,Zasavska,2010-11-30,25.0
iskrba,Jugovzhodna Slovenija,2010-12-31,
graska gora,Koroška,2010-12-31,9.0
ljubljana bezigrad,Osrednjeslovenska,2010-12-31,5.0
ljubljana center,Osrednjeslovenska,2010-12-31,12.0
vnajnarje,Osrednjeslovenska,2010-12-31,9.0
pesje,Posavska,2010-12-31,7.0
brestanica-sv.mohor,Posavska,2010-12-31,28.0
celje,Savinjska,2010-12-31,14.0
sostanj,Savinjska,2010-12-31,85.0
topolsica,Savinjska,2010-12-31,8.0
veliki vrh,Savinjska,2010-12-31,9.0
zavodnje,Savinjska,2010-12-31,13.0
velenje,Savinjska,2010-12-31,5.0
skale,Savinjska,2010-12-31,14.0
trbovlje,Zasavska,2010-12-31,18.0
hrastnik,Zasavska,2010-12-31,14.0
zagorje,Zasavska,2010-12-31,13.0
kovk,Zasavska,2010-12-31,26.0
dobovec,Zasavska,2010-12-31,22.0
kum,Zasavska,2010-12-31,9.0
ravenska vas,Zasavska,2010-12-31,12.0
graska gora,Koroška,2011-01-31,19.0
ljubljana bezigrad,Osrednjeslovenska,2011-01-31,10.0
ljubljana center,Osrednjeslovenska,2011-01-31,12.0
vnajnarje,Osrednjeslovenska,2011-01-31,14.0
maribor center,Podravska,2011-01-31,8.0
pesje,Posavska,2011-01-31,13.0
brestanica-sv.mohor,Posavska,2011-01-31,16.0
celje,Savinjska,2011-01-31,10.0
sostanj,Savinjska,2011-01-31,12.0
topolsica,Savinjska,2011-01-31,10.0
veliki vrh,Savinjska,2011-01-31,35.0
zavodnje,Savinjska,2011-01-31,32.0
velenje,Savinjska,2011-01-31,9.0
skale,Savinjska,2011-01-31,24.0
trbovlje,Zasavska,2011-01-31,17.0
hrastnik,Zasavska,2011-01-31,8.0
zagorje,Zasavska,2011-01-31,15.0
kovk,Zasavska,2011-01-31,23.0
dobovec,Zasavska,2011-01-31,17.0
kum,Zasavska,2011-01-31,9.0
ravenska vas,Zasavska,2011-01-31,16.0
graska gora,Koroška,2011-02-28,17.0
ljubljana bezigrad,Osrednjeslovenska,2011-02-28,12.0
ljubljana center,Osrednjeslovenska,2011-02-28,11.0
vnajnarje,Osrednjeslovenska,2011-02-28,19.0
maribor center,Podravska,2011-02-28,17.0
pesje,Posavska,2011-02-28,14.0
brestanica-sv.mohor,Posavska,2011-02-28,31.0
celje,Savinjska,2011-02-28,17.0
sostanj,Savinjska,2011-02-28,13.0
topolsica,Savinjska,2011-02-28,12.0
veliki vrh,Savinjska,2011-02-28,42.0
zavodnje,Savinjska,2011-02-28,18.0
velenje,Savinjska,2011-02-28,12.0
skale,Savinjska,2011-02-28,20.0
trbovlje,Zasavska,2011-02-28,22.0
hrastnik,Zasavska,2011-02-28,14.0
zagorje,Zasavska,2011-02-28,37.0
kovk,Zasavska,2011-02-28,32.0
dobovec,Zasavska,2011-02-28,26.0
kum,Zasavska,2011-02-28,11.0
ravenska vas,Zasavska,2011-02-28,46.0
graska gora,Koroška,2011-03-31,13.0
ljubljana bezigrad,Osrednjeslovenska,2011-03-31,16.0
ljubljana center,Osrednjeslovenska,2011-03-31,14.0
vnajnarje,Osrednjeslovenska,2011-03-31,18.0
maribor center,Podravska,2011-03-31,19.0
pesje,Posavska,2011-03-31,19.0
brestanica-sv.mohor,Posavska,2011-03-31,24.0
celje,Savinjska,2011-03-31,22.0
sostanj,Savinjska,2011-03-31,19.0
topolsica,Savinjska,2011-03-31,13.0
veliki vrh,Savinjska,2011-03-31,36.0
zavodnje,Savinjska,2011-03-31,20.0
velenje,Savinjska,2011-03-31,15.0
skale,Savinjska,2011-03-31,19.0
trbovlje,Zasavska,2011-03-31,24.0
hrastnik,Zasavska,2011-03-31,19.0
zagorje,Zasavska,2011-03-31,21.0
kovk,Zasavska,2011-03-31,27.0
dobovec,Zasavska,2011-03-31,14.0
kum,Zasavska,2011-03-31,11.0
ravenska vas,Zasavska,2011-03-31,29.0
graska gora,Koroška,2011-04-30,6.0
ljubljana bezigrad,Osrednjeslovenska,2011-04-30,3.0
ljubljana center,Osrednjeslovenska,2011-04-30,7.0
vnajnarje,Osrednjeslovenska,2011-04-30,8.0
maribor center,Podravska,2011-04-30,3.0
pesje,Posavska,2011-04-30,10.0
brestanica-sv.mohor,Posavska,2011-04-30,5.0
celje,Savinjska,2011-04-30,5.0
sostanj,Savinjska,2011-04-30,13.0
topolsica,Savinjska,2011-04-30,10.0
veliki vrh,Savinjska,2011-04-30,30.0
zavodnje,Savinjska,2011-04-30,11.0
velenje,Savinjska,2011-04-30,3.0
skale,Savinjska,2011-04-30,6.0
trbovlje,Zasavska,2011-04-30,11.0
hrastnik,Zasavska,2011-04-30,7.0
zagorje,Zasavska,2011-04-30,11.0
kovk,Zasavska,2011-04-30,26.0
dobovec,Zasavska,2011-04-30,15.0
kum,Zasavska,2011-04-30,7.0
ravenska vas,Zasavska,2011-04-30,15.0
graska gora,Koroška,2011-05-31,6.0
ljubljana bezigrad,Osrednjeslovenska,2011-05-31,3.0
ljubljana center,Osrednjeslovenska,2011-05-31,9.0
vnajnarje,Osrednjeslovenska,2011-05-31,11.0
maribor center,Podravska,2011-05-31,6.0
pesje,Posavska,2011-05-31,9.0
brestanica-sv.mohor,Posavska,2011-05-31,3.0
celje,Savinjska,2011-05-31,10.0
sostanj,Savinjska,2011-05-31,6.0
topolsica,Savinjska,2011-05-31,5.0
veliki vrh,Savinjska,2011-05-31,21.0
zavodnje,Savinjska,2011-05-31,8.0
velenje,Savinjska,2011-05-31,5.0
skale,Savinjska,2011-05-31,7.0
trbovlje,Zasavska,2011-05-31,11.0
hrastnik,Zasavska,2011-05-31,8.0
zagorje,Zasavska,2011-05-31,8.0
kovk,Zasavska,2011-05-31,14.0
dobovec,Zasavska,2011-05-31,21.0
kum,Zasavska,2011-05-31,18.0
ravenska vas,Zasavska,2011-05-31,19.0
graska gora,Koroška,2011-06-30,3.0
ljubljana bezigrad,Osrednjeslovenska,2011-06-30,2.0
ljubljana center,Osrednjeslovenska,2011-06-30,5.0
vnajnarje,Osrednjeslovenska,2011-06-30,5.0
maribor center,Podravska,2011-06-30,2.0
pesje,Posavska,2011-06-30,8.0
brestanica-sv.mohor,Posavska,2011-06-30,3.0
celje,Savinjska,2011-06-30,8.0
sostanj,Savinjska,2011-06-30,7.0
topolsica,Savinjska,2011-06-30,3.0
veliki vrh,Savinjska,2011-06-30,22.0
zavodnje,Savinjska,2011-06-30,6.0
velenje,Savinjska,2011-06-30,5.0
skale,Savinjska,2011-06-30,12.0
trbovlje,Zasavska,2011-06-30,9.0
hrastnik,Zasavska,2011-06-30,6.0
zagorje,Zasavska,2011-06-30,9.0
kovk,Zasavska,2011-06-30,22.0
dobovec,Zasavska,2011-06-30,14.0
kum,Zasavska,2011-06-30,8.0
ravenska vas,Zasavska,2011-06-30,16.0
graska gora,Koroška,2011-07-31,8.0
ljubljana bezigrad,Osrednjeslovenska,2011-07-31,5.0
ljubljana center,Osrednjeslovenska,2011-07-31,7.0
vnajnarje,Osrednjeslovenska,2011-07-31,8.0
maribor center,Podravska,2011-07-31,3.0
pesje,Posavska,2011-07-31,9.0
brestanica-sv.mohor,Posavska,2011-07-31,4.0
celje,Savinjska,2011-07-31,7.0
sostanj,Savinjska,2011-07-31,9.0
topolsica,Savinjska,2011-07-31,12.0
veliki vrh,Savinjska,2011-07-31,21.0
zavodnje,Savinjska,2011-07-31,12.0
velenje,Savinjska,2011-07-31,3.0
skale,Savinjska,2011-07-31,14.0
trbovlje,Zasavska,2011-07-31,8.0
hrastnik,Zasavska,2011-07-31,8.0
zagorje,Zasavska,2011-07-31,7.0
kovk,Zasavska,2011-07-31,22.0
dobovec,Zasavska,2011-07-31,21.0
kum,Zasavska,2011-07-31,7.0
ravenska vas,Zasavska,2011-07-31,17.0
graska gora,Koroška,2011-08-31,5.0
ljubljana bezigrad,Osrednjeslovenska,2011-08-31,3.0
ljubljana center,Osrednjeslovenska,2011-08-31,5.0
vnajnarje,Osrednjeslovenska,2011-08-31,7.0
maribor center,Podravska,2011-08-31,4.0
pesje,Posavska,2011-08-31,12.0
brestanica-sv.mohor,Posavska,2011-08-31,6.0
celje,Savinjska,2011-08-31,7.0
sostanj,Savinjska,2011-08-31,13.0
topolsica,Savinjska,2011-08-31,9.0
veliki vrh,Savinjska,2011-08-31,28.0
zavodnje,Savinjska,2011-08-31,18.0
velenje,Savinjska,2011-08-31,12.0
skale,Savinjska,2011-08-31,11.0
trbovlje,Zasavska,2011-08-31,19.0
hrastnik,Zasavska,2011-08-31,8.0
zagorje,Zasavska,2011-08-31,36.0
kovk,Zasavska,2011-08-31,21.0
dobovec,Zasavska,2011-08-31,109.0
kum,Zasavska,2011-08-31,4.0
ravenska vas,Zasavska,2011-08-31,72.0
graska gora,Koroška,2011-09-30,2.0
ljubljana bezigrad,Osrednjeslovenska,2011-09-30,4.0
ljubljana center,Osrednjeslovenska,2011-09-30,6.0
vnajnarje,Osrednjeslovenska,2011-09-30,9.0
maribor center,Podravska,2011-09-30,6.0
pesje,Posavska,2011-09-30,9.0
brestanica-sv.mohor,Posavska,2011-09-30,5.0
celje,Savinjska,2011-09-30,7.0
sostanj,Savinjska,2011-09-30,13.0
topolsica,Savinjska,2011-09-30,10.0
veliki vrh,Savinjska,2011-09-30,10.0
zavodnje,Savinjska,2011-09-30,11.0
velenje,Savinjska,2011-09-30,12.0
skale,Savinjska,2011-09-30,16.0
trbovlje,Zasavska,2011-09-30,8.0
hrastnik,Zasavska,2011-09-30,8.0
zagorje,Zasavska,2011-09-30,37.0
kovk,Zasavska,2011-09-30,31.0
dobovec,Zasavska,2011-09-30,26.0
kum,Zasavska,2011-09-30,7.0
ravenska vas,Zasavska,2011-09-30,50.0
graska gora,Koroška,2011-10-31,4.0
ljubljana bezigrad,Osrednjeslovenska,2011-10-31,4.0
ljubljana center,Osrednjeslovenska,2011-10-31,4.0
vnajnarje,Osrednjeslovenska,2011-10-31,6.0
maribor center,Podravska,2011-10-31,6.0
pesje,Posavska,2011-10-31,11.0
brestanica-sv.mohor,Posavska,2011-10-31,5.0
celje,Savinjska,2011-10-31,8.0
sostanj,Savinjska,2011-10-31,12.0
topolsica,Savinjska,2011-10-31,6.0
veliki vrh,Savinjska,2011-10-31,14.0
zavodnje,Savinjska,2011-10-31,17.0
velenje,Savinjska,2011-10-31,4.0
skale,Savinjska,2011-10-31,10.0
trbovlje,Zasavska,2011-10-31,12.0
hrastnik,Zasavska,2011-10-31,7.0
zagorje,Zasavska,2011-10-31,14.0
kovk,Zasavska,2011-10-31,28.0
dobovec,Zasavska,2011-10-31,24.0
kum,Zasavska,2011-10-31,14.0
ravenska vas,Zasavska,2011-10-31,25.0
graska gora,Koroška,2011-11-30,5.0
ljubljana bezigrad,Osrednjeslovenska,2011-11-30,19.0
ljubljana center,Osrednjeslovenska,2011-11-30,6.0
vnajnarje,Osrednjeslovenska,2011-11-30,28.0
maribor center,Podravska,2011-11-30,9.0
pesje,Posavska,2011-11-30,11.0
brestanica-sv.mohor,Posavska,2011-11-30,18.0
celje,Savinjska,2011-11-30,14.0
sostanj,Savinjska,2011-11-30,9.0
topolsica,Savinjska,2011-11-30,6.0
veliki vrh,Savinjska,2011-11-30,23.0
zavodnje,Savinjska,2011-11-30,31.0
velenje,Savinjska,2011-11-30,5.0
skale,Savinjska,2011-11-30,12.0
trbovlje,Zasavska,2011-11-30,29.0
hrastnik,Zasavska,2011-11-30,39.0
zagorje,Zasavska,2011-11-30,16.0
kovk,Zasavska,2011-11-30,56.0
dobovec,Zasavska,2011-11-30,110.0
kum,Zasavska,2011-11-30,15.0
ravenska vas,Zasavska,2011-11-30,37.0
graska gora,Koroška,2011-12-31,10.0
ljubljana bezigrad,Osrednjeslovenska,2011-12-31,7.0
ljubljana center,Osrednjeslovenska,2011-12-31,6.0
vnajnarje,Osrednjeslovenska,2011-12-31,5.0
maribor center,Podravska,2011-12-31,6.0
pesje,Posavska,2011-12-31,15.0
brestanica-sv.mohor,Posavska,2011-12-31,5.0
celje,Savinjska,2011-12-31,16.0
sostanj,Savinjska,2011-12-31,28.0
topolsica,Savinjska,2011-12-31,9.0
veliki vrh,Savinjska,2011-12-31,16.0
zavodnje,Savinjska,2011-12-31,16.0
velenje,Savinjska,2011-12-31,6.0
skale,Savinjska,2011-12-31,15.0
trbovlje,Zasavska,2011-12-31,11.0
hrastnik,Zasavska,2011-12-31,9.0
zagorje,Zasavska,2011-12-31,3.0
kovk,Zasavska,2011-12-31,24.0
dobovec,Zasavska,2011-12-31,11.0
kum,Zasavska,2011-12-31,18.0
ravenska vas,Zasavska,2011-12-31,14.0
graska gora,Koroška,2012-01-31,10.0
ljubljana bezigrad,Osrednjeslovenska,2012-01-31,15.0
ljubljana center,Osrednjeslovenska,2012-01-31,9.0
vnajnarje,Osrednjeslovenska,2012-01-31,4.0
maribor center,Podravska,2012-01-31,10.0
pesje,Posavska,2012-01-31,13.0
brestanica-sv.mohor,Posavska,2012-01-31,11.0
celje,Savinjska,2012-01-31,15.0
sostanj,Savinjska,2012-01-31,16.0
topolsica,Savinjska,2012-01-31,4.0
veliki vrh,Savinjska,2012-01-31,16.0
zavodnje,Savinjska,2012-01-31,13.0
velenje,Savinjska,2012-01-31,8.0
skale,Savinjska,2012-01-31,19.0
trbovlje,Zasavska,2012-01-31,19.0
hrastnik,Zasavska,2012-01-31,11.0
zagorje,Zasavska,2012-01-31,14.0
zelena trava,Zasavska,2012-01-31,7.0
kovk,Zasavska,2012-01-31,18.0
dobovec,Zasavska,2012-01-31,25.0
kum,Zasavska,2012-01-31,20.0
ravenska vas,Zasavska,2012-01-31,21.0
graska gora,Koroška,2012-02-29,15.0
ljubljana bezigrad,Osrednjeslovenska,2012-02-29,25.0
ljubljana center,Osrednjeslovenska,2012-02-29,20.0
vnajnarje,Osrednjeslovenska,2012-02-29,16.0
maribor center,Podravska,2012-02-29,27.0
pesje,Posavska,2012-02-29,24.0
brestanica-sv.mohor,Posavska,2012-02-29,28.0
celje,Savinjska,2012-02-29,34.0
sostanj,Savinjska,2012-02-29,19.0
topolsica,Savinjska,2012-02-29,11.0
veliki vrh,Savinjska,2012-02-29,24.0
zavodnje,Savinjska,2012-02-29,16.0
velenje,Savinjska,2012-02-29,11.0
skale,Savinjska,2012-02-29,17.0
trbovlje,Zasavska,2012-02-29,35.0
hrastnik,Zasavska,2012-02-29,27.0
zagorje,Zasavska,2012-02-29,26.0
zelena trava,Zasavska,2012-02-29,28.0
kovk,Zasavska,2012-02-29,32.0
dobovec,Zasavska,2012-02-29,36.0
kum,Zasavska,2012-02-29,30.0
ravenska vas,Zasavska,2012-02-29,36.0
graska gora,Koroška,2012-03-31,9.0
ljubljana bezigrad,Osrednjeslovenska,2012-03-31,13.0
ljubljana center,Osrednjeslovenska,2012-03-31,8.0
vnajnarje,Osrednjeslovenska,2012-03-31,15.0
maribor center,Podravska,2012-03-31,6.0
pesje,Posavska,2012-03-31,18.0
brestanica-sv.mohor,Posavska,2012-03-31,11.0
celje,Savinjska,2012-03-31,12.0
sostanj,Savinjska,2012-03-31,44.0
topolsica,Savinjska,2012-03-31,11.0
veliki vrh,Savinjska,2012-03-31,51.0
zavodnje,Savinjska,2012-03-31,14.0
velenje,Savinjska,2012-03-31,9.0
skale,Savinjska,2012-03-31,12.0
trbovlje,Zasavska,2012-03-31,19.0
hrastnik,Zasavska,2012-03-31,11.0
zagorje,Zasavska,2012-03-31,9.0
zelena trava,Zasavska,2012-03-31,16.0
kovk,Zasavska,2012-03-31,18.0
dobovec,Zasavska,2012-03-31,31.0
kum,Zasavska,2012-03-31,19.0
ravenska vas,Zasavska,2012-03-31,21.0
graska gora,Koroška,2012-04-30,13.0
ljubljana bezigrad,Osrednjeslovenska,2012-04-30,9.0
ljubljana center,Osrednjeslovenska,2012-04-30,7.0
vnajnarje,Osrednjeslovenska,2012-04-30,12.0
maribor center,Podravska,2012-04-30,5.0
